"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"7597","{""age"":""33""}","survey-text","1","2.1.0","186258","","","","",""
"20011","x","audio-keyboard-response","6","2.1.0","238218","x","true","data/A/output48-2.wav","true",""
"5109","x","audio-keyboard-response","8","2.1.0","246842","m","true","data/H/153.5-3.wav","false",""
"8011","m","audio-keyboard-response","10","2.1.0","257737","m","false","data/H/256-5.wav","","2026-01-23T14-00-50-672Z"
"8928","m","audio-keyboard-response","11","2.1.0","267249","x","false","data/A/output31-5.wav","","2026-01-23T14-00-50-672Z"
"11920","x","audio-keyboard-response","12","2.1.0","280009","x","false","data/A/output28-2.wav","","2026-01-23T14-00-50-672Z"
"6520","x","audio-keyboard-response","13","2.1.0","287201","m","false","data/H/276-8.wav","","2026-01-23T14-00-50-672Z"
"7968","x","audio-keyboard-response","14","2.1.0","295721","m","false","data/H/292-2.wav","","2026-01-23T14-00-50-672Z"
"10008","m","audio-keyboard-response","15","2.1.0","306401","x","false","data/A/output3-3.wav","","2026-01-23T14-00-50-672Z"
"5179","x","audio-keyboard-response","16","2.1.0","312161","m","false","data/H/175.5-5.wav","","2026-01-23T14-00-50-672Z"
"12800","x","audio-keyboard-response","17","2.1.0","325513","x","false","data/A/output19-1.wav","","2026-01-23T14-00-50-672Z"
"10621","x","audio-keyboard-response","18","2.1.0","336825","m","false","data/H/283-7.wav","","2026-01-23T14-00-50-672Z"
"8048","m","audio-keyboard-response","19","2.1.0","345441","x","false","data/A/output14-6.wav","","2026-01-23T14-00-50-672Z"
"7789","m","audio-keyboard-response","20","2.1.0","353785","m","false","data/H/148.6-6.wav","","2026-01-23T14-00-50-672Z"
"7288","x","audio-keyboard-response","21","2.1.0","361641","m","false","data/H/122.6-4.wav","","2026-01-23T14-00-50-672Z"
"7640","m","audio-keyboard-response","22","2.1.0","369857","x","false","data/A/output26-4.wav","","2026-01-23T14-00-50-672Z"
"8728","x","audio-keyboard-response","23","2.1.0","379161","m","false","data/H/244.15-6.wav","","2026-01-23T14-00-50-672Z"
"6051","m","audio-keyboard-response","24","2.1.0","385785","x","false","data/A/output39-6.wav","","2026-01-23T14-00-50-672Z"
"9608","x","audio-keyboard-response","25","2.1.0","395960","m","false","data/H/290-2.wav","","2026-01-23T14-00-50-672Z"
"9629","x","audio-keyboard-response","26","2.1.0","406169","m","false","data/H/227.11-5.wav","","2026-01-23T14-00-50-672Z"
"5491","m","audio-keyboard-response","27","2.1.0","412225","x","false","data/A/output16-1.wav","","2026-01-23T14-00-50-672Z"
"11840","x","audio-keyboard-response","28","2.1.0","424657","x","false","data/A/output21-1.wav","","2026-01-23T14-00-50-672Z"
"7109","x","audio-keyboard-response","29","2.1.0","432328","x","false","data/A/output10-6.wav","","2026-01-23T14-00-50-672Z"
"15835","{""Q0"":""sehr gut\n""}","survey-text","30","2.1.0","448680","","","","",""
