"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"4494","{""age"":""22""}","survey-text","1","2.1.0","363633","","","","",""
"7232","x","audio-keyboard-response","6","2.1.0","405528","x","true","data/A/output31-5.wav","true",""
"9560","m","audio-keyboard-response","8","2.1.0","417344","m","true","data/H/122.6-4.wav","true",""
"8869","m","audio-keyboard-response","10","2.1.0","428432","m","false","data/H/276-8.wav","","2026-01-23T14-28-49-967Z"
"2568","m","audio-keyboard-response","11","2.1.0","431584","x","false","data/A/output28-2.wav","","2026-01-23T14-28-49-967Z"
"11128","m","audio-keyboard-response","12","2.1.0","443384","x","false","data/A/output10-6.wav","","2026-01-23T14-28-49-967Z"
"9600","m","audio-keyboard-response","13","2.1.0","453632","x","false","data/A/output16-1.wav","","2026-01-23T14-28-49-967Z"
"7099","x","audio-keyboard-response","14","2.1.0","461383","x","false","data/A/output21-1.wav","","2026-01-23T14-28-49-967Z"
"7440","x","audio-keyboard-response","15","2.1.0","469367","x","false","data/A/output26-4.wav","","2026-01-23T14-28-49-967Z"
"7419","m","audio-keyboard-response","16","2.1.0","477344","x","false","data/A/output14-6.wav","","2026-01-23T14-28-49-967Z"
"7560","m","audio-keyboard-response","17","2.1.0","485464","m","false","data/H/148.6-6.wav","","2026-01-23T14-28-49-967Z"
"6451","x","audio-keyboard-response","18","2.1.0","492456","m","false","data/H/175.5-5.wav","","2026-01-23T14-28-49-967Z"
"9661","x","audio-keyboard-response","19","2.1.0","502680","x","false","data/A/output3-3.wav","","2026-01-23T14-28-49-967Z"
"10128","m","audio-keyboard-response","20","2.1.0","513344","m","false","data/H/256-5.wav","","2026-01-23T14-28-49-967Z"
"8952","m","audio-keyboard-response","21","2.1.0","523016","m","false","data/H/227.11-5.wav","","2026-01-23T14-28-49-967Z"
"7000","m","audio-keyboard-response","22","2.1.0","530608","m","false","data/H/244.15-6.wav","","2026-01-23T14-28-49-967Z"
"4421","x","audio-keyboard-response","23","2.1.0","535567","m","false","data/H/153.5-3.wav","","2026-01-23T14-28-49-967Z"
"4549","x","audio-keyboard-response","24","2.1.0","540672","x","false","data/A/output19-1.wav","","2026-01-23T14-28-49-967Z"
"6419","x","audio-keyboard-response","25","2.1.0","547632","x","false","data/A/output39-6.wav","","2026-01-23T14-28-49-967Z"
"7480","m","audio-keyboard-response","26","2.1.0","555776","m","false","data/H/290-2.wav","","2026-01-23T14-28-49-967Z"
"11640","m","audio-keyboard-response","27","2.1.0","567968","m","false","data/H/292-2.wav","","2026-01-23T14-28-49-967Z"
"6672","m","audio-keyboard-response","28","2.1.0","575208","m","false","data/H/283-7.wav","","2026-01-23T14-28-49-967Z"
"4651","x","audio-keyboard-response","29","2.1.0","580528","x","false","data/A/output48-2.wav","","2026-01-23T14-28-49-967Z"
"9642","{""Q0"":""schwer\n""}","survey-text","30","2.1.0","590688","","","","",""
