"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"2642","{""age"":""23148""}","survey-text","1","2.1.0","182533","","","","",""
"341","m","audio-keyboard-response","6","2.1.0","189564","x","true","data/A/output26-4.wav","false",""
"739","m","audio-keyboard-response","8","2.1.0","191588","m","true","data/H/256-5.wav","true",""
"699","m","audio-keyboard-response","10","2.1.0","193716","m","false","data/H/227.11-5.wav","","2026-01-23T08-49-50-791Z"
"301","m","audio-keyboard-response","11","2.1.0","194572","x","false","data/A/output3-3.wav","","2026-01-23T08-49-50-791Z"
"171","m","audio-keyboard-response","12","2.1.0","195300","m","false","data/H/153.5-3.wav","","2026-01-23T08-49-50-791Z"
"379","m","audio-keyboard-response","13","2.1.0","196228","x","false","data/A/output39-6.wav","","2026-01-23T08-49-50-791Z"
"21","x","audio-keyboard-response","14","2.1.0","196811","x","false","data/A/output21-1.wav","","2026-01-23T08-49-50-791Z"
"299","x","audio-keyboard-response","15","2.1.0","197660","m","false","data/H/283-7.wav","","2026-01-23T08-49-50-791Z"
"259","m","audio-keyboard-response","16","2.1.0","198468","x","false","data/A/output10-6.wav","","2026-01-23T08-49-50-791Z"
"232","x","audio-keyboard-response","17","2.1.0","199252","m","false","data/H/122.6-4.wav","","2026-01-23T08-49-50-791Z"
"160","m","audio-keyboard-response","18","2.1.0","199964","x","false","data/A/output16-1.wav","","2026-01-23T08-49-50-791Z"
"411","x","audio-keyboard-response","19","2.1.0","200924","m","false","data/H/175.5-5.wav","","2026-01-23T08-49-50-791Z"
"219","x","audio-keyboard-response","20","2.1.0","201716","x","false","data/A/output28-2.wav","","2026-01-23T08-49-50-791Z"
"160","m","audio-keyboard-response","21","2.1.0","202436","x","false","data/A/output19-1.wav","","2026-01-23T08-49-50-791Z"
"112","m","audio-keyboard-response","22","2.1.0","203092","m","false","data/H/244.15-6.wav","","2026-01-23T08-49-50-791Z"
"280","m","audio-keyboard-response","23","2.1.0","203924","x","false","data/A/output48-2.wav","","2026-01-23T08-49-50-791Z"
"59","x","audio-keyboard-response","24","2.1.0","204547","x","false","data/A/output31-5.wav","","2026-01-23T08-49-50-791Z"
"61","m","audio-keyboard-response","25","2.1.0","205163","m","false","data/H/290-2.wav","","2026-01-23T08-49-50-791Z"
"221","m","audio-keyboard-response","26","2.1.0","205924","m","false","data/H/276-8.wav","","2026-01-23T08-49-50-791Z"
"291","m","audio-keyboard-response","27","2.1.0","206764","m","false","data/H/292-2.wav","","2026-01-23T08-49-50-791Z"
"421","x","audio-keyboard-response","28","2.1.0","207852","x","false","data/A/output14-6.wav","","2026-01-23T08-49-50-791Z"
"469","m","audio-keyboard-response","29","2.1.0","208876","m","false","data/H/148.6-6.wav","","2026-01-23T08-49-50-791Z"
"4509","{""Q0"":""Serh scher!""}","survey-text","30","2.1.0","213892","","","","",""
