"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"4800","{""age"":""30""}","survey-text","1","2.1.0","3153198","","","","",""
"15552","x","audio-keyboard-response","6","2.1.0","3233559","m","true","data/H/283-7.wav","false",""
"9280","m","audio-keyboard-response","8","2.1.0","3249151","x","true","data/A/output16-1.wav","false",""
"14651","x","audio-keyboard-response","10","2.1.0","3268272","x","false","data/A/output21-1.wav","","2026-01-23T09-53-42-434Z"
"10349","x","audio-keyboard-response","11","2.1.0","3279216","m","false","data/H/256-5.wav","","2026-01-23T09-53-42-434Z"
"8219","x","audio-keyboard-response","12","2.1.0","3288144","m","false","data/H/244.15-6.wav","","2026-01-23T09-53-42-434Z"
"12259","m","audio-keyboard-response","13","2.1.0","3301024","m","false","data/H/122.6-4.wav","","2026-01-23T09-53-42-434Z"
"11232","x","audio-keyboard-response","14","2.1.0","3312840","m","false","data/H/290-2.wav","","2026-01-23T09-53-42-434Z"
"10880","m","audio-keyboard-response","15","2.1.0","3324392","x","false","data/A/output31-5.wav","","2026-01-23T09-53-42-434Z"
"12101","m","audio-keyboard-response","16","2.1.0","3337192","x","false","data/A/output3-3.wav","","2026-01-23T09-53-42-434Z"
"13851","x","audio-keyboard-response","17","2.1.0","3351712","x","false","data/A/output28-2.wav","","2026-01-23T09-53-42-434Z"
"9789","x","audio-keyboard-response","18","2.1.0","3362184","m","false","data/H/276-8.wav","","2026-01-23T09-53-42-434Z"
"10589","m","audio-keyboard-response","19","2.1.0","3373352","x","false","data/A/output14-6.wav","","2026-01-23T09-53-42-434Z"
"9360","x","audio-keyboard-response","20","2.1.0","3383296","x","false","data/A/output48-2.wav","","2026-01-23T09-53-42-434Z"
"15291","m","audio-keyboard-response","21","2.1.0","3399168","x","false","data/A/output19-1.wav","","2026-01-23T09-53-42-434Z"
"8040","m","audio-keyboard-response","22","2.1.0","3407800","m","false","data/H/292-2.wav","","2026-01-23T09-53-42-434Z"
"9421","x","audio-keyboard-response","23","2.1.0","3417792","m","false","data/H/175.5-5.wav","","2026-01-23T09-53-42-434Z"
"7152","x","audio-keyboard-response","24","2.1.0","3425519","x","false","data/A/output10-6.wav","","2026-01-23T09-53-42-434Z"
"11749","x","audio-keyboard-response","25","2.1.0","3437863","m","false","data/H/153.5-3.wav","","2026-01-23T09-53-42-434Z"
"9339","m","audio-keyboard-response","26","2.1.0","3447784","x","false","data/A/output26-4.wav","","2026-01-23T09-53-42-434Z"
"12629","x","audio-keyboard-response","27","2.1.0","3461032","m","false","data/H/227.11-5.wav","","2026-01-23T09-53-42-434Z"
"9459","x","audio-keyboard-response","28","2.1.0","3471096","x","false","data/A/output39-6.wav","","2026-01-23T09-53-42-434Z"
"19840","x","audio-keyboard-response","29","2.1.0","3491536","m","false","data/H/148.6-6.wav","","2026-01-23T09-53-42-434Z"
"7718","{""Q0"":""schwer""}","survey-text","30","2.1.0","3499776","","","","",""
