"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"8527","{""age"":""19""}","survey-text","1","2.1.0","358210","","","","",""
"10861","m","audio-keyboard-response","6","2.1.0","425740","m","true","data/H/290-2.wav","true",""
"7411","x","audio-keyboard-response","8","2.1.0","436988","x","true","data/A/output28-2.wav","true",""
"14192","m","audio-keyboard-response","10","2.1.0","454028","m","false","data/H/227.11-5.wav","","2026-01-23T14-11-57-709Z"
"27509","x","audio-keyboard-response","11","2.1.0","482103","x","false","data/A/output3-3.wav","","2026-01-23T14-11-57-709Z"
"11091","x","audio-keyboard-response","12","2.1.0","493751","x","false","data/A/output21-1.wav","","2026-01-23T14-11-57-709Z"
"10400","x","audio-keyboard-response","13","2.1.0","504703","x","false","data/A/output48-2.wav","","2026-01-23T14-11-57-709Z"
"13371","m","audio-keyboard-response","14","2.1.0","518631","m","false","data/H/122.6-4.wav","","2026-01-23T14-11-57-709Z"
"9469","x","audio-keyboard-response","15","2.1.0","528647","m","false","data/H/175.5-5.wav","","2026-01-23T14-11-57-709Z"
"7461","m","audio-keyboard-response","16","2.1.0","536655","x","false","data/A/output39-6.wav","","2026-01-23T14-11-57-709Z"
"4861","x","audio-keyboard-response","17","2.1.0","542055","x","false","data/A/output10-6.wav","","2026-01-23T14-11-57-709Z"
"9701","m","audio-keyboard-response","18","2.1.0","552313","x","false","data/A/output14-6.wav","","2026-01-23T14-11-57-709Z"
"9280","m","audio-keyboard-response","19","2.1.0","562129","m","false","data/H/148.6-6.wav","","2026-01-23T14-11-57-709Z"
"18419","x","audio-keyboard-response","20","2.1.0","581089","x","false","data/A/output16-1.wav","","2026-01-23T14-11-57-709Z"
"10901","m","audio-keyboard-response","21","2.1.0","592545","x","false","data/A/output19-1.wav","","2026-01-23T14-11-57-709Z"
"9021","m","audio-keyboard-response","22","2.1.0","602113","m","false","data/H/256-5.wav","","2026-01-23T14-11-57-709Z"
"12120","x","audio-keyboard-response","23","2.1.0","614787","m","false","data/H/276-8.wav","","2026-01-23T14-11-57-709Z"
"7091","m","audio-keyboard-response","24","2.1.0","622420","m","false","data/H/244.15-6.wav","","2026-01-23T14-11-57-709Z"
"8080","m","audio-keyboard-response","25","2.1.0","631075","m","false","data/H/283-7.wav","","2026-01-23T14-11-57-709Z"
"3880","x","audio-keyboard-response","26","2.1.0","635507","m","false","data/H/153.5-3.wav","","2026-01-23T14-11-57-709Z"
"12251","m","audio-keyboard-response","27","2.1.0","648291","x","false","data/A/output26-4.wav","","2026-01-23T14-11-57-709Z"
"3672","x","audio-keyboard-response","28","2.1.0","652515","x","false","data/A/output31-5.wav","","2026-01-23T14-11-57-709Z"
"8080","m","audio-keyboard-response","29","2.1.0","661140","m","false","data/H/292-2.wav","","2026-01-23T14-11-57-709Z"
"50875","{""Q0"":""Sehr kreativ und schön umgesetzt. ""}","survey-text","30","2.1.0","712525","","","","",""
