"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"62544","{""age"":""54""}","survey-text","1","2.1.0","110565","","","","",""
"3112","m","audio-keyboard-response","6","2.1.0","141653","m","true","data/H/292-2.wav","true",""
"8059","x","audio-keyboard-response","8","2.1.0","152756","x","true","data/A/output21-1.wav","true",""
"4360","x","audio-keyboard-response","10","2.1.0","159908","m","false","data/H/244.15-6.wav","","2026-01-23T14-11-02-880Z"
"9691","x","audio-keyboard-response","11","2.1.0","170133","x","false","data/A/output10-6.wav","","2026-01-23T14-11-02-880Z"
"10512","m","audio-keyboard-response","12","2.1.0","181173","x","false","data/A/output39-6.wav","","2026-01-23T14-11-02-880Z"
"7840","m","audio-keyboard-response","13","2.1.0","189557","m","false","data/H/148.6-6.wav","","2026-01-23T14-11-02-880Z"
"6320","m","audio-keyboard-response","14","2.1.0","196405","m","false","data/H/283-7.wav","","2026-01-23T14-11-02-880Z"
"8421","x","audio-keyboard-response","15","2.1.0","205373","x","false","data/A/output19-1.wav","","2026-01-23T14-11-02-880Z"
"14029","x","audio-keyboard-response","16","2.1.0","219948","x","false","data/A/output3-3.wav","","2026-01-23T14-11-02-880Z"
"7240","x","audio-keyboard-response","17","2.1.0","227725","x","false","data/A/output14-6.wav","","2026-01-23T14-11-02-880Z"
"5099","x","audio-keyboard-response","18","2.1.0","233390","m","false","data/H/122.6-4.wav","","2026-01-23T14-11-02-880Z"
"4888","m","audio-keyboard-response","19","2.1.0","238821","x","false","data/A/output31-5.wav","","2026-01-23T14-11-02-880Z"
"8659","x","audio-keyboard-response","20","2.1.0","248021","m","false","data/H/175.5-5.wav","","2026-01-23T14-11-02-880Z"
"10789","m","audio-keyboard-response","21","2.1.0","259358","x","false","data/A/output48-2.wav","","2026-01-23T14-11-02-880Z"
"9269","x","audio-keyboard-response","22","2.1.0","269165","m","false","data/H/256-5.wav","","2026-01-23T14-11-02-880Z"
"9840","x","audio-keyboard-response","23","2.1.0","279558","x","false","data/A/output16-1.wav","","2026-01-23T14-11-02-880Z"
"9669","x","audio-keyboard-response","24","2.1.0","289765","m","false","data/H/153.5-3.wav","","2026-01-23T14-11-02-880Z"
"8960","m","audio-keyboard-response","25","2.1.0","299294","m","false","data/H/290-2.wav","","2026-01-23T14-11-02-880Z"
"8309","x","audio-keyboard-response","26","2.1.0","308143","x","false","data/A/output26-4.wav","","2026-01-23T14-11-02-880Z"
"13629","m","audio-keyboard-response","27","2.1.0","322486","x","false","data/A/output28-2.wav","","2026-01-23T14-11-02-880Z"
"10320","x","audio-keyboard-response","28","2.1.0","333358","m","false","data/H/227.11-5.wav","","2026-01-23T14-11-02-880Z"
"8619","x","audio-keyboard-response","29","2.1.0","342509","m","false","data/H/276-8.wav","","2026-01-23T14-11-02-880Z"
"20332","{""Q0"":""sehr schwer, auch weil alle Stücke sehr ähnlich klangen""}","survey-text","30","2.1.0","363358","","","","",""
