"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"2303","{""age"":""34""}","survey-text","1","2.1.0","174988","","","","",""
"9541","x","audio-keyboard-response","6","2.1.0","303580","x","true","data/A/output16-1.wav","true",""
"5061","x","audio-keyboard-response","8","2.1.0","311100","m","true","data/H/256-5.wav","false",""
"8349","m","audio-keyboard-response","10","2.1.0","321692","x","false","data/A/output19-1.wav","","2026-01-23T14-08-11-023Z"
"9360","m","audio-keyboard-response","11","2.1.0","331612","x","false","data/A/output28-2.wav","","2026-01-23T14-08-11-023Z"
"12691","m","audio-keyboard-response","12","2.1.0","344828","x","false","data/A/output26-4.wav","","2026-01-23T14-08-11-023Z"
"9411","x","audio-keyboard-response","13","2.1.0","354780","m","false","data/H/175.5-5.wav","","2026-01-23T14-08-11-023Z"
"9309","m","audio-keyboard-response","14","2.1.0","364636","x","false","data/A/output10-6.wav","","2026-01-23T14-08-11-023Z"
"7989","x","audio-keyboard-response","15","2.1.0","373172","m","false","data/H/292-2.wav","","2026-01-23T14-08-11-023Z"
"7341","x","audio-keyboard-response","16","2.1.0","381060","x","false","data/A/output3-3.wav","","2026-01-23T14-08-11-023Z"
"6611","x","audio-keyboard-response","17","2.1.0","388212","m","false","data/H/244.15-6.wav","","2026-01-23T14-08-11-023Z"
"9008","m","audio-keyboard-response","18","2.1.0","397756","m","false","data/H/276-8.wav","","2026-01-23T14-08-11-023Z"
"6419","m","audio-keyboard-response","19","2.1.0","404716","m","false","data/H/122.6-4.wav","","2026-01-23T14-08-11-023Z"
"8480","x","audio-keyboard-response","20","2.1.0","413724","x","false","data/A/output48-2.wav","","2026-01-23T14-08-11-023Z"
"10011","m","audio-keyboard-response","21","2.1.0","424268","x","false","data/A/output14-6.wav","","2026-01-23T14-08-11-023Z"
"9829","x","audio-keyboard-response","22","2.1.0","434652","x","false","data/A/output21-1.wav","","2026-01-23T14-08-11-023Z"
"5280","x","audio-keyboard-response","23","2.1.0","440500","x","false","data/A/output31-5.wav","","2026-01-23T14-08-11-023Z"
"8480","m","audio-keyboard-response","24","2.1.0","449516","m","false","data/H/148.6-6.wav","","2026-01-23T14-08-11-023Z"
"9379","x","audio-keyboard-response","25","2.1.0","459556","x","false","data/A/output39-6.wav","","2026-01-23T14-08-11-023Z"
"11229","x","audio-keyboard-response","26","2.1.0","471340","m","false","data/H/227.11-5.wav","","2026-01-23T14-08-11-023Z"
"9509","m","audio-keyboard-response","27","2.1.0","481396","m","false","data/H/290-2.wav","","2026-01-23T14-08-11-023Z"
"11109","m","audio-keyboard-response","28","2.1.0","493036","m","false","data/H/283-7.wav","","2026-01-23T14-08-11-023Z"
"10259","x","audio-keyboard-response","29","2.1.0","503845","m","false","data/H/153.5-3.wav","","2026-01-23T14-08-11-023Z"
"90030","{""Q0"":""Es ist schlicht und einfach nicht unterscheidbar, was ein Mensch und was eine KI komponiert hat. \nMich würde interessieren, wie die KI trainiert wurde, bestimmte Kriterien bei der Komposition zu erfüllen, z. B. Satz, Harmonie, Melodie, Akkorde usw. ""}","survey-text","30","2.1.0","594384","","","","",""
