"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"89000","{""age"":""15""}","survey-text","1","2.1.0","89152","","","","",""
"9811","x","audio-keyboard-response","6","2.1.0","131279","m","true","data/H/276-8.wav","false",""
"10739","m","audio-keyboard-response","8","2.1.0","146279","x","true","data/A/output48-2.wav","false",""
"10109","m","audio-keyboard-response","10","2.1.0","158543","m","false","data/H/283-7.wav","","2026-01-23T14-12-01-395Z"
"8771","x","audio-keyboard-response","11","2.1.0","167855","m","false","data/H/148.6-6.wav","","2026-01-23T14-12-01-395Z"
"9480","m","audio-keyboard-response","12","2.1.0","177871","x","false","data/A/output39-6.wav","","2026-01-23T14-12-01-395Z"
"9808","x","audio-keyboard-response","13","2.1.0","188223","m","false","data/H/256-5.wav","","2026-01-23T14-12-01-395Z"
"9771","m","audio-keyboard-response","14","2.1.0","198535","x","false","data/A/output19-1.wav","","2026-01-23T14-12-01-395Z"
"7331","x","audio-keyboard-response","15","2.1.0","206407","m","false","data/H/292-2.wav","","2026-01-23T14-12-01-395Z"
"11411","x","audio-keyboard-response","16","2.1.0","218367","x","false","data/A/output3-3.wav","","2026-01-23T14-12-01-395Z"
"7749","m","audio-keyboard-response","17","2.1.0","226767","m","false","data/H/290-2.wav","","2026-01-23T14-12-01-395Z"
"9541","x","audio-keyboard-response","18","2.1.0","236847","x","false","data/A/output10-6.wav","","2026-01-23T14-12-01-395Z"
"9640","m","audio-keyboard-response","19","2.1.0","247039","x","false","data/A/output31-5.wav","","2026-01-23T14-12-01-395Z"
"8619","x","audio-keyboard-response","20","2.1.0","256191","x","false","data/A/output16-1.wav","","2026-01-23T14-12-01-395Z"
"9659","m","audio-keyboard-response","21","2.1.0","266503","m","false","data/H/153.5-3.wav","","2026-01-23T14-12-01-395Z"
"10941","x","audio-keyboard-response","22","2.1.0","278135","m","false","data/H/122.6-4.wav","","2026-01-23T14-12-01-395Z"
"9341","x","audio-keyboard-response","23","2.1.0","288007","x","false","data/A/output26-4.wav","","2026-01-23T14-12-01-395Z"
"9539","m","audio-keyboard-response","24","2.1.0","298103","x","false","data/A/output21-1.wav","","2026-01-23T14-12-01-395Z"
"9592","x","audio-keyboard-response","25","2.1.0","308295","m","false","data/H/227.11-5.wav","","2026-01-23T14-12-01-395Z"
"6712","x","audio-keyboard-response","26","2.1.0","315655","m","false","data/H/244.15-6.wav","","2026-01-23T14-12-01-395Z"
"13819","m","audio-keyboard-response","27","2.1.0","330063","x","false","data/A/output28-2.wav","","2026-01-23T14-12-01-395Z"
"9312","x","audio-keyboard-response","28","2.1.0","339936","x","false","data/A/output14-6.wav","","2026-01-23T14-12-01-395Z"
"9829","x","audio-keyboard-response","29","2.1.0","350431","m","false","data/H/175.5-5.wav","","2026-01-23T14-12-01-395Z"
"44612","{""Q0"":""Coole idee, aber relativ schweres rätsel:)""}","survey-text","30","2.1.0","395552","","","","",""
