"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"6047","{""age"":""29""}","survey-text","1","2.1.0","15556","","","","",""
"4120","m","audio-keyboard-response","6","2.1.0","62536","m","true","data/H/283-7.wav","true",""
"3939","x","audio-keyboard-response","8","2.1.0","68865","x","true","data/A/output31-5.wav","true",""
"7259","m","audio-keyboard-response","10","2.1.0","78384","m","false","data/H/290-2.wav","","2026-01-23T10-45-38-073Z"
"7640","x","audio-keyboard-response","11","2.1.0","86816","m","false","data/H/153.5-3.wav","","2026-01-23T10-45-38-073Z"
"7131","m","audio-keyboard-response","12","2.1.0","94768","m","false","data/H/292-2.wav","","2026-01-23T10-45-38-073Z"
"3221","x","audio-keyboard-response","13","2.1.0","98568","x","false","data/A/output39-6.wav","","2026-01-23T10-45-38-073Z"
"3739","x","audio-keyboard-response","14","2.1.0","103104","x","false","data/A/output10-6.wav","","2026-01-23T10-45-38-073Z"
"7179","m","audio-keyboard-response","15","2.1.0","110898","m","false","data/H/244.15-6.wav","","2026-01-23T10-45-38-073Z"
"6760","x","audio-keyboard-response","16","2.1.0","118282","x","false","data/A/output3-3.wav","","2026-01-23T10-45-38-073Z"
"7461","m","audio-keyboard-response","17","2.1.0","126514","x","false","data/A/output16-1.wav","","2026-01-23T10-45-38-073Z"
"5651","x","audio-keyboard-response","18","2.1.0","132746","m","false","data/H/276-8.wav","","2026-01-23T10-45-38-073Z"
"8949","x","audio-keyboard-response","19","2.1.0","142402","x","false","data/A/output19-1.wav","","2026-01-23T10-45-38-073Z"
"7520","m","audio-keyboard-response","20","2.1.0","150522","x","false","data/A/output26-4.wav","","2026-01-23T10-45-38-073Z"
"8389","m","audio-keyboard-response","21","2.1.0","159746","m","false","data/H/227.11-5.wav","","2026-01-23T10-45-38-073Z"
"8491","m","audio-keyboard-response","22","2.1.0","168938","m","false","data/H/175.5-5.wav","","2026-01-23T10-45-38-073Z"
"16291","x","audio-keyboard-response","23","2.1.0","185978","x","false","data/A/output28-2.wav","","2026-01-23T10-45-38-073Z"
"14669","x","audio-keyboard-response","24","2.1.0","201330","x","false","data/A/output14-6.wav","","2026-01-23T10-45-38-073Z"
"7939","m","audio-keyboard-response","25","2.1.0","209858","m","false","data/H/256-5.wav","","2026-01-23T10-45-38-073Z"
"10699","m","audio-keyboard-response","26","2.1.0","221178","m","false","data/H/122.6-4.wav","","2026-01-23T10-45-38-073Z"
"8389","m","audio-keyboard-response","27","2.1.0","230266","m","false","data/H/148.6-6.wav","","2026-01-23T10-45-38-073Z"
"10691","m","audio-keyboard-response","28","2.1.0","241594","x","false","data/A/output21-1.wav","","2026-01-23T10-45-38-073Z"
"5589","x","audio-keyboard-response","29","2.1.0","247970","x","false","data/A/output48-2.wav","","2026-01-23T10-45-38-073Z"
"4148","{""Q0"":""""}","survey-text","30","2.1.0","252634","","","","",""
