"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"5742","{""age"":""14""}","survey-text","1","2.1.0","318257","","","","",""
"14451","x","audio-keyboard-response","6","2.1.0","363896","m","true","data/H/283-7.wav","false",""
"10331","x","audio-keyboard-response","8","2.1.0","378272","x","true","data/A/output10-6.wav","true",""
"8701","x","audio-keyboard-response","10","2.1.0","389561","m","false","data/H/290-2.wav","","2026-01-23T13-58-40-607Z"
"5091","m","audio-keyboard-response","11","2.1.0","395481","m","false","data/H/175.5-5.wav","","2026-01-23T13-58-40-607Z"
"5861","x","audio-keyboard-response","12","2.1.0","402073","x","false","data/A/output39-6.wav","","2026-01-23T13-58-40-607Z"
"8160","m","audio-keyboard-response","13","2.1.0","411096","x","false","data/A/output26-4.wav","","2026-01-23T13-58-40-607Z"
"6272","x","audio-keyboard-response","14","2.1.0","418040","m","false","data/H/244.15-6.wav","","2026-01-23T13-58-40-607Z"
"11269","m","audio-keyboard-response","15","2.1.0","430057","m","false","data/H/153.5-3.wav","","2026-01-23T13-58-40-607Z"
"3320","x","audio-keyboard-response","16","2.1.0","434096","x","false","data/A/output19-1.wav","","2026-01-23T13-58-40-607Z"
"2149","x","audio-keyboard-response","17","2.1.0","436976","m","false","data/H/292-2.wav","","2026-01-23T13-58-40-607Z"
"3899","x","audio-keyboard-response","18","2.1.0","441528","x","false","data/A/output3-3.wav","","2026-01-23T13-58-40-607Z"
"4581","m","audio-keyboard-response","19","2.1.0","446712","m","false","data/H/276-8.wav","","2026-01-23T13-58-40-607Z"
"5589","m","audio-keyboard-response","20","2.1.0","452897","x","false","data/A/output16-1.wav","","2026-01-23T13-58-40-607Z"
"5280","x","audio-keyboard-response","21","2.1.0","458776","m","false","data/H/256-5.wav","","2026-01-23T13-58-40-607Z"
"7899","m","audio-keyboard-response","22","2.1.0","467288","x","false","data/A/output31-5.wav","","2026-01-23T13-58-40-607Z"
"3659","x","audio-keyboard-response","23","2.1.0","471568","m","false","data/H/227.11-5.wav","","2026-01-23T13-58-40-607Z"
"12131","m","audio-keyboard-response","24","2.1.0","484296","m","false","data/H/148.6-6.wav","","2026-01-23T13-58-40-607Z"
"3272","x","audio-keyboard-response","25","2.1.0","488241","x","false","data/A/output21-1.wav","","2026-01-23T13-58-40-607Z"
"3629","m","audio-keyboard-response","26","2.1.0","492536","x","false","data/A/output28-2.wav","","2026-01-23T13-58-40-607Z"
"4760","m","audio-keyboard-response","27","2.1.0","497897","x","false","data/A/output48-2.wav","","2026-01-23T13-58-40-607Z"
"3280","m","audio-keyboard-response","28","2.1.0","501768","x","false","data/A/output14-6.wav","","2026-01-23T13-58-40-607Z"
"3509","x","audio-keyboard-response","29","2.1.0","505913","m","false","data/H/122.6-4.wav","","2026-01-23T13-58-40-607Z"
"27978","{""Q0"":""schwierig aber spassig :)""}","survey-text","30","2.1.0","534401","","","","",""
