"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"6716","{""age"":""42""}","survey-text","1","2.1.0","105072","","","","",""
"10451","m","audio-keyboard-response","6","2.1.0","211810","x","true","data/A/output28-2.wav","false",""
"7109","m","audio-keyboard-response","8","2.1.0","227777","m","true","data/H/283-7.wav","true",""
"5029","x","audio-keyboard-response","10","2.1.0","246282","x","false","data/A/output10-6.wav","","2026-01-23T14-21-05-146Z"
"7899","m","audio-keyboard-response","11","2.1.0","254721","m","false","data/H/175.5-5.wav","","2026-01-23T14-21-05-146Z"
"7269","x","audio-keyboard-response","12","2.1.0","262521","x","false","data/A/output48-2.wav","","2026-01-23T14-21-05-146Z"
"6200","x","audio-keyboard-response","13","2.1.0","269266","x","false","data/A/output21-1.wav","","2026-01-23T14-21-05-146Z"
"8709","x","audio-keyboard-response","14","2.1.0","278522","x","false","data/A/output31-5.wav","","2026-01-23T14-21-05-146Z"
"2480","m","audio-keyboard-response","15","2.1.0","281529","x","false","data/A/output16-1.wav","","2026-01-23T14-21-05-146Z"
"11941","x","audio-keyboard-response","16","2.1.0","294010","m","false","data/H/148.6-6.wav","","2026-01-23T14-21-05-146Z"
"12928","x","audio-keyboard-response","17","2.1.0","307497","m","false","data/H/276-8.wav","","2026-01-23T14-21-05-146Z"
"7349","x","audio-keyboard-response","18","2.1.0","315402","m","false","data/H/292-2.wav","","2026-01-23T14-21-05-146Z"
"6240","x","audio-keyboard-response","19","2.1.0","322193","m","false","data/H/244.15-6.wav","","2026-01-23T14-21-05-146Z"
"11221","m","audio-keyboard-response","20","2.1.0","333930","m","false","data/H/227.11-5.wav","","2026-01-23T14-21-05-146Z"
"5891","x","audio-keyboard-response","21","2.1.0","340506","m","false","data/H/122.6-4.wav","","2026-01-23T14-21-05-146Z"
"9451","m","audio-keyboard-response","22","2.1.0","350522","x","false","data/A/output39-6.wav","","2026-01-23T14-21-05-146Z"
"11339","x","audio-keyboard-response","23","2.1.0","362522","x","false","data/A/output3-3.wav","","2026-01-23T14-21-05-146Z"
"9989","x","audio-keyboard-response","24","2.1.0","373154","x","false","data/A/output19-1.wav","","2026-01-23T14-21-05-146Z"
"12080","x","audio-keyboard-response","25","2.1.0","385761","m","false","data/H/153.5-3.wav","","2026-01-23T14-21-05-146Z"
"9621","m","audio-keyboard-response","26","2.1.0","396041","m","false","data/H/256-5.wav","","2026-01-23T14-21-05-146Z"
"9949","m","audio-keyboard-response","27","2.1.0","406537","m","false","data/H/290-2.wav","","2026-01-23T14-21-05-146Z"
"9920","x","audio-keyboard-response","28","2.1.0","417097","x","false","data/A/output26-4.wav","","2026-01-23T14-21-05-146Z"
"9349","m","audio-keyboard-response","29","2.1.0","427097","x","false","data/A/output14-6.wav","","2026-01-23T14-21-05-146Z"
"127262","{""Q0"":""Die Aufgabe war schwierig, besonders weil bei den meisten Musikstücken die selben Instrumente erklangen interessant wäre auch ein Versuch mit unterschiedlichen Instrumenten.""}","survey-text","30","2.1.0","554833","","","","",""
