"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"4486","{""age"":""55""}","survey-text","1","2.1.0","476415","","","","",""
"9421","x","audio-keyboard-response","6","2.1.0","532647","m","true","data/H/276-8.wav","false",""
"9488","m","audio-keyboard-response","8","2.1.0","546864","x","true","data/A/output19-1.wav","false",""
"12120","x","audio-keyboard-response","10","2.1.0","563207","x","false","data/A/output21-1.wav","","2026-01-23T14-27-19-028Z"
"9749","m","audio-keyboard-response","11","2.1.0","573623","m","false","data/H/153.5-3.wav","","2026-01-23T14-27-19-028Z"
"9880","x","audio-keyboard-response","12","2.1.0","584048","m","false","data/H/175.5-5.wav","","2026-01-23T14-27-19-028Z"
"13600","x","audio-keyboard-response","13","2.1.0","598208","m","false","data/H/292-2.wav","","2026-01-23T14-27-19-028Z"
"8720","m","audio-keyboard-response","14","2.1.0","607488","x","false","data/A/output10-6.wav","","2026-01-23T14-27-19-028Z"
"11208","m","audio-keyboard-response","15","2.1.0","619384","x","false","data/A/output3-3.wav","","2026-01-23T14-27-19-028Z"
"12792","x","audio-keyboard-response","16","2.1.0","632735","m","false","data/H/283-7.wav","","2026-01-23T14-27-19-028Z"
"14189","x","audio-keyboard-response","17","2.1.0","647592","x","false","data/A/output28-2.wav","","2026-01-23T14-27-19-028Z"
"9339","m","audio-keyboard-response","18","2.1.0","657600","m","false","data/H/256-5.wav","","2026-01-23T14-27-19-028Z"
"11400","x","audio-keyboard-response","19","2.1.0","669568","m","false","data/H/122.6-4.wav","","2026-01-23T14-27-19-028Z"
"9499","m","audio-keyboard-response","20","2.1.0","679712","m","false","data/H/148.6-6.wav","","2026-01-23T14-27-19-028Z"
"9000","m","audio-keyboard-response","21","2.1.0","689256","x","false","data/A/output48-2.wav","","2026-01-23T14-27-19-028Z"
"9240","x","audio-keyboard-response","22","2.1.0","699136","x","false","data/A/output39-6.wav","","2026-01-23T14-27-19-028Z"
"8989","m","audio-keyboard-response","23","2.1.0","708785","x","false","data/A/output31-5.wav","","2026-01-23T14-27-19-028Z"
"16549","m","audio-keyboard-response","24","2.1.0","725888","m","false","data/H/227.11-5.wav","","2026-01-23T14-27-19-028Z"
"8091","x","audio-keyboard-response","25","2.1.0","734632","m","false","data/H/244.15-6.wav","","2026-01-23T14-27-19-028Z"
"10379","x","audio-keyboard-response","26","2.1.0","745552","x","false","data/A/output16-1.wav","","2026-01-23T14-27-19-028Z"
"8888","m","audio-keyboard-response","27","2.1.0","755104","x","false","data/A/output26-4.wav","","2026-01-23T14-27-19-028Z"
"8469","x","audio-keyboard-response","28","2.1.0","764241","x","false","data/A/output14-6.wav","","2026-01-23T14-27-19-028Z"
"11131","m","audio-keyboard-response","29","2.1.0","775929","m","false","data/H/290-2.wav","","2026-01-23T14-27-19-028Z"
"7273","{""Q0"":""""}","survey-text","30","2.1.0","783705","","","","",""
