"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"5791","{""age"":""25""}","survey-text","1","2.1.0","121107","","","","",""
"11280","m","audio-keyboard-response","6","2.1.0","175025","x","true","data/A/output21-1.wav","false",""
"9149","x","audio-keyboard-response","8","2.1.0","186747","m","true","data/H/290-2.wav","false",""
"12040","m","audio-keyboard-response","10","2.1.0","200867","x","false","data/A/output3-3.wav","","2026-01-23T10-44-30-154Z"
"9091","m","audio-keyboard-response","11","2.1.0","210763","x","false","data/A/output26-4.wav","","2026-01-23T10-44-30-154Z"
"13691","m","audio-keyboard-response","12","2.1.0","225027","x","false","data/A/output16-1.wav","","2026-01-23T10-44-30-154Z"
"11811","x","audio-keyboard-response","13","2.1.0","237684","m","false","data/H/122.6-4.wav","","2026-01-23T10-44-30-154Z"
"11019","x","audio-keyboard-response","14","2.1.0","249292","m","false","data/H/283-7.wav","","2026-01-23T10-44-30-154Z"
"10629","x","audio-keyboard-response","15","2.1.0","260619","m","false","data/H/256-5.wav","","2026-01-23T10-44-30-154Z"
"9821","x","audio-keyboard-response","16","2.1.0","271155","m","false","data/H/227.11-5.wav","","2026-01-23T10-44-30-154Z"
"9019","x","audio-keyboard-response","17","2.1.0","280771","m","false","data/H/175.5-5.wav","","2026-01-23T10-44-30-154Z"
"14629","m","audio-keyboard-response","18","2.1.0","296075","x","false","data/A/output28-2.wav","","2026-01-23T10-44-30-154Z"
"9880","x","audio-keyboard-response","19","2.1.0","306531","x","false","data/A/output19-1.wav","","2026-01-23T10-44-30-154Z"
"10189","x","audio-keyboard-response","20","2.1.0","317466","x","false","data/A/output39-6.wav","","2026-01-23T10-44-30-154Z"
"9432","x","audio-keyboard-response","21","2.1.0","327555","m","false","data/H/276-8.wav","","2026-01-23T10-44-30-154Z"
"11819","m","audio-keyboard-response","22","2.1.0","340003","m","false","data/H/153.5-3.wav","","2026-01-23T10-44-30-154Z"
"9421","m","audio-keyboard-response","23","2.1.0","350066","m","false","data/H/148.6-6.wav","","2026-01-23T10-44-30-154Z"
"7840","x","audio-keyboard-response","24","2.1.0","358530","m","false","data/H/292-2.wav","","2026-01-23T10-44-30-154Z"
"8219","x","audio-keyboard-response","25","2.1.0","367463","x","false","data/A/output48-2.wav","","2026-01-23T10-44-30-154Z"
"8331","m","audio-keyboard-response","26","2.1.0","376407","x","false","data/A/output14-6.wav","","2026-01-23T10-44-30-154Z"
"7211","x","audio-keyboard-response","27","2.1.0","384230","x","false","data/A/output10-6.wav","","2026-01-23T10-44-30-154Z"
"7499","x","audio-keyboard-response","28","2.1.0","392351","m","false","data/H/244.15-6.wav","","2026-01-23T10-44-30-154Z"
"8971","x","audio-keyboard-response","29","2.1.0","401911","x","false","data/A/output31-5.wav","","2026-01-23T10-44-30-154Z"
"4214","{""Q0"":""""}","survey-text","30","2.1.0","406671","","","","",""
