"rt","response","trial_type","trial_index","plugin_version","time_elapsed","correct","training","stimulus","correct_response","timestamp"
"11602","{""age"":""14""}","survey-text","1","2.1.0","114853","","","","",""
"17560","x","audio-keyboard-response","6","2.1.0","298292","m","true","data/H/175.5-5.wav","false",""
"9512","x","audio-keyboard-response","8","2.1.0","309924","x","true","data/A/output19-1.wav","true",""
"10251","m","audio-keyboard-response","10","2.1.0","322117","m","false","data/H/292-2.wav","","2026-01-23T14-08-20-701Z"
"5229","x","audio-keyboard-response","11","2.1.0","327900","x","false","data/A/output28-2.wav","","2026-01-23T14-08-20-701Z"
"10931","m","audio-keyboard-response","12","2.1.0","339364","m","false","data/H/290-2.wav","","2026-01-23T14-08-20-701Z"
"11251","m","audio-keyboard-response","13","2.1.0","351142","x","false","data/A/output16-1.wav","","2026-01-23T14-08-20-701Z"
"14312","x","audio-keyboard-response","14","2.1.0","365998","m","false","data/H/283-7.wav","","2026-01-23T14-08-20-701Z"
"8989","x","audio-keyboard-response","15","2.1.0","375534","x","false","data/A/output26-4.wav","","2026-01-23T14-08-20-701Z"
"11141","x","audio-keyboard-response","16","2.1.0","387231","m","false","data/H/227.11-5.wav","","2026-01-23T14-08-20-701Z"
"9880","m","audio-keyboard-response","17","2.1.0","397662","x","false","data/A/output14-6.wav","","2026-01-23T14-08-20-701Z"
"20389","x","audio-keyboard-response","18","2.1.0","418591","x","false","data/A/output48-2.wav","","2026-01-23T14-08-20-701Z"
"8840","m","audio-keyboard-response","19","2.1.0","427991","m","false","data/H/244.15-6.wav","","2026-01-23T14-08-20-701Z"
"6981","m","audio-keyboard-response","20","2.1.0","435527","x","false","data/A/output21-1.wav","","2026-01-23T14-08-20-701Z"
"9920","x","audio-keyboard-response","21","2.1.0","445999","m","false","data/H/256-5.wav","","2026-01-23T14-08-20-701Z"
"9952","m","audio-keyboard-response","22","2.1.0","456527","x","false","data/A/output31-5.wav","","2026-01-23T14-08-20-701Z"
"10040","x","audio-keyboard-response","23","2.1.0","467127","m","false","data/H/153.5-3.wav","","2026-01-23T14-08-20-701Z"
"7760","m","audio-keyboard-response","24","2.1.0","475455","x","false","data/A/output39-6.wav","","2026-01-23T14-08-20-701Z"
"11829","m","audio-keyboard-response","25","2.1.0","487968","x","false","data/A/output3-3.wav","","2026-01-23T14-08-20-701Z"
"8411","x","audio-keyboard-response","26","2.1.0","496920","x","false","data/A/output10-6.wav","","2026-01-23T14-08-20-701Z"
"8880","m","audio-keyboard-response","27","2.1.0","506464","m","false","data/H/276-8.wav","","2026-01-23T14-08-20-701Z"
"10581","m","audio-keyboard-response","28","2.1.0","517616","m","false","data/H/122.6-4.wav","","2026-01-23T14-08-20-701Z"
"9669","x","audio-keyboard-response","29","2.1.0","527864","m","false","data/H/148.6-6.wav","","2026-01-23T14-08-20-701Z"
"26867","{""Q0"":""sehr schwer aber gut:)""}","survey-text","30","2.1.0","555256","","","","",""
